,uid,train_loss,train_accuracy,test_loss,test_accuracy
0,0,0.9901952188110351,64.818,2.8167275108337404,38.01
1,1,0.426468580493927,85.242,0.7615797861099243,75.43
2,2,0.9918345619392395,64.648,1.6496640041351318,50.69
3,3,0.6665821005821227,76.99,0.775650777387619,73.36
4,4,0.9780651282119751,65.29,1.9400824644088746,42.06
5,5,0.6272197092056274,78.31,1.2960749090194703,58.71
6,6,0.5269904813575744,81.776,1.0978403003692627,67.04
7,7,0.4743033394432068,83.652,0.7435711152076722,76.81
8,8,0.4999001283454895,82.566,0.6363300232887268,79.0
9,9,0.6714677640151977,77.002,1.117635150718689,66.22
10,10,2.303592573852539,9.938,2.303410076522827,10.0
11,11,0.7431548875236511,74.152,0.9665018270492554,66.64
12,12,2.3034449462127684,9.858,2.3031122493743896,10.0
13,13,0.647934673538208,77.72,1.7537864044189453,47.94
14,14,0.5703590253639221,80.368,1.0576029628753663,67.35
15,15,2.012636156959534,25.066,1.9832024173736573,27.04
16,16,0.4198211354637146,85.552,0.7392098496437073,75.71
17,17,0.635873540019989,77.92,1.4273769701004029,58.77
18,18,0.6475874642276764,77.406,1.2742867958068849,63.71
19,19,0.7818773803710938,72.556,1.303356203842163,60.3
20,20,0.5733534442138671,80.204,1.0528315509796142,68.12
21,21,0.568418235206604,80.482,0.8360760764122009,71.48
22,22,0.793812077922821,71.898,1.0534687591552734,63.34
23,23,0.7135764426994323,74.916,1.2348202486991882,58.49
24,24,1.011998507156372,63.864,1.5893773286819457,49.68
25,25,0.6918695562553405,76.088,0.9768531672477723,67.58
26,26,0.6593888425064087,77.126,1.0549396446228028,65.59
27,27,0.6653927998542786,76.996,1.146506175327301,63.01
28,28,1.0038375481796264,64.39,1.864677982521057,40.12
29,29,0.8082324221801758,71.712,3.099807432937622,33.11
30,30,0.5613678557968139,80.702,0.8625321666717529,72.59
31,31,0.6366129464149475,78.152,1.2589078473091126,61.85
32,32,0.45812117614746095,84.206,0.7060238960266113,76.39
33,33,0.5720595184326172,80.398,1.035788106250763,67.72
34,34,0.5991206878852844,79.404,1.45687743434906,59.92
35,35,0.6251198740005494,78.256,1.1436152230262757,66.1
36,36,0.7002106799125671,75.532,0.9543691856384278,68.78
37,37,0.5778020210647583,80.086,0.7565515804290771,74.03
38,38,0.7242092016029358,74.842,0.9276289749145508,69.01
39,39,0.5802260631942749,79.918,0.9034420641899109,70.34
40,40,1.2183761658096313,56.138,2.529167685317993,32.58
41,41,0.6960646095657349,75.93,0.8917322855949402,68.97
42,42,0.4191775190067291,85.75,0.5624980875968933,81.61
43,43,0.6841699376296997,76.212,0.8880816505432129,70.36
44,44,1.2502640455245972,55.01,1.614093828201294,46.78
45,45,0.5770443162155151,80.048,0.6995466920852661,76.1
46,46,0.7155944047164917,75.14,1.126843829345703,65.66
47,47,0.6056085145187378,79.024,0.9732445944786072,68.05
48,48,1.0049838697052003,64.132,1.4705339378356934,52.39
49,49,0.6083283178710938,78.786,1.0668851511955262,67.04
50,50,0.5160509664535522,82.248,0.9394379245281219,71.26
51,51,0.6290877562332153,78.128,1.5085761524200438,59.2
52,52,0.4528376068878174,84.432,0.6452904767036438,77.68
53,53,1.9401113424682617,28.622,1.9876685621261596,26.79
54,54,0.6156302623176575,78.58,1.0261013835906982,68.73
55,55,0.6804415536499023,76.628,0.8913282857894897,69.68
56,56,0.4559020267868042,84.214,0.804164421081543,73.49
57,57,1.1763280262374878,57.88,1.3327776166915895,53.0
58,58,1.8480373049163819,30.782,2.0651148977279665,24.1
59,59,0.7850848512649536,72.248,1.4774651748657226,55.08
60,60,0.7182747830581665,74.914,1.0756312522888183,64.73
61,61,0.7710794533157349,73.102,1.693325973892212,47.74
62,62,0.5559482083702088,80.946,0.7600345937728882,74.14
63,63,0.6296952142715454,78.112,0.9751604965209961,67.8
64,64,0.6083897698593139,79.31,1.6457043045043944,55.07
65,65,0.5469184426498414,81.17,1.031158958053589,68.32
66,66,1.1722207036972045,57.972,1.687418590927124,45.33
67,67,0.5479643349838257,81.082,0.7941713754177093,74.5
68,68,0.6054895579338073,79.152,1.0322260757446289,65.11
69,69,0.413999244556427,85.708,0.6264801036834717,79.58
70,70,0.5768176997375488,80.176,0.8885141208648681,71.07
71,71,0.733298231678009,74.33,2.518956434249878,42.13
72,72,0.6808658575630188,76.412,0.8896014130592346,68.55
73,73,0.7244919005203247,74.48,1.6635066329956054,53.66
74,74,2.303631633453369,9.782,2.3029834049224855,10.0
75,75,1.459888201599121,46.96,2.683961471939087,27.04
76,76,1.0211399228286744,63.708,1.5357423404693604,50.62
77,77,0.5131685020828247,82.488,0.7880709374427796,73.92
78,78,0.5897102393341065,79.664,0.6880832444190979,76.63
79,79,0.4721889395523071,83.87,0.635311766910553,79.21
80,80,0.5700255473518372,80.222,0.8173965947151184,72.83
81,81,0.39998972853660586,86.456,0.576142347240448,80.85
82,82,0.7064594530677796,75.772,0.9345322799682617,69.59
83,83,1.044274553604126,62.566,1.8365905723571778,45.38
84,84,0.6239116419792176,78.298,1.4136515510559082,59.02
85,85,0.5904312905693054,79.664,0.8938788877487183,70.06
86,86,0.4747496336078644,83.778,1.1226001759052278,69.35
87,87,1.3163211672210693,52.64,1.7050384592056274,41.84
88,88,0.6775318318748474,76.706,1.0631002628326416,65.68
89,89,0.48360369068145753,83.272,0.9482747007369995,71.35
90,90,0.6818952216148376,76.244,2.4623281646728516,44.49
